decile,volume,cum_volume,positive,min_proba,max_proba,negative,cum_positive,cum_negative,positive_rate,negative_rate,cum_positive_rate,cum_negative_rate,capture_rate,non_capture_rate,ks
1,311,311,310,0.983,0.99,1,310,1,99.68,0.32,99.68,0.32,14.55,0.1,14.45
2,311,622,311,0.977,0.983,0,621,1,100.0,0.0,99.84,0.16,29.15,0.1,29.05
3,311,933,307,0.9673,0.977,4,928,5,98.71,1.29,99.46,0.54,43.57,0.51,43.06
4,310,1243,304,0.9539,0.9673,6,1232,11,98.06,1.94,99.12,0.88,57.84,1.13,56.71
5,311,1554,298,0.9282,0.9539,13,1530,24,95.82,4.18,98.46,1.54,71.83,2.46,69.37
6,311,1865,269,0.7673,0.9278,42,1799,66,86.5,13.5,96.46,3.54,84.46,6.76,77.7
7,310,2175,214,0.5685,0.766,96,2013,162,69.03,30.97,92.55,7.45,94.51,16.58,77.93
8,311,2486,95,0.1758,0.5675,216,2108,378,30.55,69.45,84.79,15.21,98.97,38.69,60.28
9,311,2797,20,0.0455,0.1749,291,2128,669,6.43,93.57,76.08,23.92,99.91,68.47,31.44
10,310,3107,2,0.0111,0.0455,308,2130,977,0.65,99.35,68.55,31.45,100.0,100.0,0.0
