decile,volume,cum_volume,positive,min_proba,max_proba,negative,cum_positive,cum_negative,positive_rate,negative_rate,cum_positive_rate,cum_negative_rate,capture_rate,non_capture_rate,ks
1,311,311,311,0.9853,0.9926,0,311,0,100.0,0.0,100.0,0.0,14.6,0.0,14.6
2,311,622,310,0.9794,0.9852,1,621,1,99.68,0.32,99.84,0.16,29.15,0.1,29.05
3,311,933,310,0.9697,0.9794,1,931,2,99.68,0.32,99.79,0.21,43.71,0.2,43.51
4,310,1243,305,0.9549,0.9696,5,1236,7,98.39,1.61,99.44,0.56,58.03,0.72,57.31
5,311,1554,299,0.9285,0.9549,12,1535,19,96.14,3.86,98.78,1.22,72.07,1.94,70.13
6,311,1865,271,0.7902,0.9285,40,1806,59,87.14,12.86,96.84,3.16,84.79,6.04,78.75
7,310,2175,217,0.5577,0.7902,93,2023,152,70.0,30.0,93.01,6.99,94.98,15.56,79.42
8,311,2486,91,0.1714,0.5548,220,2114,372,29.26,70.74,85.04,14.96,99.25,38.08,61.17
9,311,2797,16,0.0341,0.1705,295,2130,667,5.14,94.86,76.15,23.85,100.0,68.27,31.73
10,310,3107,0,0.0037,0.034,310,2130,977,0.0,100.0,68.55,31.45,100.0,100.0,0.0
